id;name;uuid;date_created;created_by;date_updated;updated_by;buyer_user_id;buyer_organization_id;supplier_organization_id;primary_supplier_user_id
1;portal input;synthesize holistic payment;2021-04-06T02:39:56;Handcrafted Concrete Towels upward-trending connect;2021-04-06T04:18:16;target online;96360;61547;80077;29939
2;HDD;Lek RSS;2021-04-06T02:04:51;Tools e-markets;2021-04-05T18:48:04;Rial Omani Oval online;12661;41371;74641;14645
3;Path;Global multi-tasking Small Soft Salad;2021-04-06T13:18:13;overriding Pound Sterling;2021-04-05T17:32:07;Norwegian Krone;85604;9776;56864;45175
4;Bedfordshire;Bedfordshire;2021-04-06T05:27:41;transitional;2021-04-06T07:30:20;Brand;45796;68369;36493;79375
5;protocol Hryvnia Lead;RSS Table;2021-04-06T11:59:21;Personal Loan Account application;2021-04-06T00:01:01;Algeria Pizza Grocery;56299;75741;54946;95284
6;virtual intuitive;multi-state Libyan Dinar;2021-04-05T18:16:50;invoice Internal Rustic;2021-04-06T12:06:38;Tasty Plastic Fish Director;88388;41634;16690;27031
7;Executive hacking;GB primary;2021-04-06T14:11:55;client-server Concrete rich;2021-04-06T04:52:54;copy;19912;2268;69752;52070
8;Money Market Account;Mouse back up Strategist;2021-04-05T20:22:11;payment;2021-04-05T18:08:27;Utah gold;6526;87215;50306;96859
9;Denar Nebraska Licensed;niches firmware programming;2021-04-06T01:37:17;24/7;2021-04-06T10:42:03;Ergonomic Frozen Chips bandwidth;55862;64659;80406;29204
10;Outdoors Future;schemas deposit Table;2021-04-06T11:14:40;North Carolina;2021-04-06T09:18:25;Home Loan Account Universal;27378;7168;96538;55368
